region,n_obs,n_heatwave_days,hw_coef,hw_se,hw_rr,interaction_sum,interaction_se,p50,p99
310045,4471,375,-0.11792048997772675,2937887.4360150583,0.888766715666728,-2.594250779511224,16207527.880749917,20.76190185546875,25.432055969238284
310046,4536,374,-0.31512312491923744,1266825.629286643,0.7296990246043319,-6.932708748222481,1115366.5416096966,21.59023094177246,26.682582244873032
310047,4557,389,-0.07094963450491659,,0.9315088068483721,-1.5608919591102977,,21.59413719177246,26.906282958984328
310048,4278,350,-0.0721117696696827,,0.9304268964924444,-1.586458932732217,,21.658233642578125,26.713491516113272
310049,2949,234,-0.10580480221542277,10907799.161082132,0.8996002309107554,-2.327705648737828,,21.647058486938477,27.029896888732907
310050,5448,470,-0.02348906849023409,1703319.7502552914,0.9767846523414484,-0.5167595067859436,8736043.009236809,20.178730010986328,25.037961273193357
310051,5367,470,-0.09396147495144809,,0.9103178316038983,-2.0671524489328292,6966557.762936712,19.837051391601562,24.601998291015626
310052,5147,427,0.06384679492234739,,1.0659290805036807,1.4046294882902532,,19.416818618774414,24.24391752243042
310053,5158,431,0.04670630762076636,526327.0194929224,1.0478142288316508,1.0275387676559427,,19.361865997314453,23.883959655761718
310054,3994,311,-0.00472147667362471,1856745.5316623633,0.995289651975923,-0.10387248681979433,751391.6336131373,19.129547119140625,23.6894580078125
310055,5434,480,-0.08440447058636388,1944882.4263697232,0.919059448393559,-1.8568983529002985,,23.132234573364258,28.744968948364257
310056,4862,426,-0.04515799482467356,2388522.018312388,0.9558464511099198,-0.9934758861411237,1421381.9202346639,21.345401763916016,26.600390968322774
310057,4003,336,-0.00863963175520224,1929026.4017939658,0.9913975826133006,-0.1900718986146187,1313243.8051531236,24.690954208374023,30.69630485534668
310058,2976,247,-0.00853749141864825,,0.9914988494676747,-0.18782481121031736,,25.565311431884766,31.547322082519532
310059,5457,485,-0.1164792509801175,5565722.733814997,0.8900485644204458,-2.5625435215591024,2374924.0308812703,23.775310516357422,29.392496261596673
310060,4970,436,0.00645768572006309,4923181.544561702,1.0064785815277966,0.14206908584227718,2826501.454916217,25.14474105834961,31.23111591339112
310061,3343,293,-0.2131831225442044,1810175.6539961332,0.8080081591579997,-4.690028695966995,1312737.720028171,22.713333129882812,28.39370294570923
310062,5430,486,-0.4671382744841313,849613.1474675767,0.6267934148839082,-10.277042038668565,,23.454004287719727,28.89188861846924
