region_code,region_name,heat_log_rr,heat_se,cold_log_rr,cold_se,n_obs,temp_p50,ac_pct,hdi,gdp_per_capita,urban_pct,elderly_pct,hospital_beds,physicians,mean_temp,macro_region,ac_pct_z,hdi_z,urban_pct_z,elderly_pct_z,mean_temp_z,hospital_beds_z
170009,,-0.07310562053165928,0.15022566033616724,0.14653725409625115,0.15289363899047598,3901,27.49054718017578,,,16172.151042645124,59.94213789216607,12.780762727785085,,,,,,,-0.6445151907442532,-0.8594316670178306,,
170010,,0.1923246323531686,0.673145600891813,0.05814913227073308,0.5929270612815711,4502,26.80385971069336,,,47801.647331162014,76.76778552394283,14.812521870205378,,,,,,,0.5148902564539488,-0.3153306070077113,,
170011,,0.13881131156473506,0.0,0.0791674519282245,0.26275157680455746,2954,25.609590530395508,,,25382.55207657786,80.2783470388337,15.13009416586682,,,,,,,0.7567926326455178,-0.23028537743714164,,
210001,,0.046247930008847415,0.053604297545365054,0.1218194945737153,0.06268283803078598,5458,27.295520782470703,,,25804.17860213061,70.88423182189605,11.670802944097982,,,,,,,0.10947203064055969,-1.1566766909301311,,
210002,,0.027554519616423197,0.08791232371036642,0.030514942040819566,0.1767766952966369,4667,27.038537979125977,,,8707.194455864215,39.99295236976567,12.15334468784871,,,,,,,-2.0191543647013352,-1.0274529710549773,,
210003,,-0.1280004681295197,0.36992001880474107,0.12139385606046811,0.7292038680986271,4579,27.78312873840332,,,9550.540998566028,50.469858651321296,11.4840680112483,,,,,,,-1.2972218436802734,-1.2066839347924119,,
210004,,-0.020246062990153732,0.1935861202088104,0.04735920194966453,0.16978712329363532,4521,27.755967140197754,,,11605.042583976276,53.021374245447376,11.073521161220109,,,,,,,-1.1214044758629402,-1.3166275652259183,,
210005,,0.04820681840643005,0.06051536478449089,0.269381369590064,0.20070675904164262,4734,27.63580322265625,,,8837.760212097408,44.8456729510343,13.108388976171772,,,,,,,-1.6847677901823277,-0.7716940088907042,,
210006,,0.051882046185339155,0.22630979980610927,0.0037376745177682144,0.6653709535735498,2737,26.950705528259277,,,8459.598424666756,34.06321529554329,9.786084556348458,,,,,,,-2.427754949639448,-1.661400529098025,,
210007,,0.1647873328495704,0.1706778710581583,0.14338891833884568,0.0,4087,27.358362197875977,,,8937.203263880456,35.34347657627961,12.406678116849696,,,,,,,-2.33953594403521,-0.9596107822947307,,
210008,,-0.12521358540184044,0.14363106492851746,0.1479818749119766,0.3343896024848858,3466,26.688859939575195,,,7979.787640239494,56.20059629710868,14.342001576044131,,,,,,,-0.9023337188130065,-0.44133500657666813,,
210009,,0.06319079774958244,0.0,0.15964765745408732,0.0,5288,27.014265060424805,,,12942.0171903845,60.70776346348532,12.24492327848026,,,,,,,-0.5917582046639477,-1.002928406505706,,
210010,,0.13650511043734395,0.12187093092165552,-0.026979618790014058,0.19616999264827686,5216,27.403400421142578,,,11773.907294805029,60.852580501023,12.651523267754907,,,,,,,-0.5817792923603765,-0.8940417375372075,,
210011,,0.017616956461092452,0.13885056708731422,0.08685191119720136,0.16424840657522372,3661,26.76519012451172,,,22679.021805873428,62.68389349274576,10.355379407988552,,,,,,,-0.45558894863070726,-1.5089444993608139,,
210012,,0.14369626449542502,0.09941770775487822,0.13966720003704086,0.3133898463587824,4647,27.25403881072998,,,30555.79468641934,59.5197300375064,14.525110481941557,,,,,,,-0.6736220624884831,-0.3922988055251004,,
210013,,0.16810063756828297,0.09663528810041391,0.2811203278868725,0.395925946025678,4912,27.771549224853516,,,12358.482284567724,72.93757568394776,13.43598264706689,,,,,,,0.2509618627548167,-0.6839650749510691,,
210014,,0.29714617209463406,0.09695057535930357,0.26101071547993365,0.17562927458098707,4884,27.409326553344727,,,12057.35872537873,68.87502688750268,12.175045324647389,,,,,,,-0.028976318953647634,-1.0216415836525363,,
210015,,0.04919700413220095,0.7435431697705924,0.09305080428125402,1.4114838582601312,4716,27.497285842895508,,,11817.326678864514,67.62785094472926,13.62203583268419,,,,,,,-0.11491551210156498,-0.6341404016425772,,
210016,,0.02158510720974282,0.3113259194558012,0.00959814955321357,1.4427553391861005,4697,27.15640640258789,,,11089.950937407768,55.88815268860439,13.754635709183304,,,,,,,-0.9238632806800929,-0.5986304182719921,,
210017,,0.1776974449406903,0.0,0.17055388656276568,0.7315437444199766,4120,27.277875900268555,,,13857.399340301456,63.667172342764886,14.667854309612949,,,,,,,-0.3878341210142101,-0.35407229219272435,,
