region,n_days,temp_range,temp_mean,temp_sd,temp_p1,temp_p99,deaths_total,deaths_mean,deaths_zero_pct,converged,vcov_finite,vcov_positive,rr_p99,rr_p99_se,rr_p1,rr_p1_se,se_category,status
1102,5474,17.4205284118652,21.2519146640849,2.01544285888019,14.7915735054016,25.1697145843506,39008,7.12605042016807,0,TRUE,TRUE,TRUE,1.76645249993913,0.918507020873978,1.75202353848317,0.742122775452274,valid,success
1201,5386,10.1586236953735,17.5371212204991,1.45994969471906,13.6959200382233,20.2423867225647,25137,4.66709988860007,0,TRUE,TRUE,TRUE,1.16556689117486,0.157346496140368,1.14980118088179,0.182238349166776,valid,success
1202,3912,13.6240921020508,24.1922303374803,1.33277377246026,20.1345015335083,27.2332215309143,7013,1.79268916155419,0,TRUE,TRUE,TRUE,4.33620713292164,8.91447473966393,4.75884717714095,7.70488446998088,valid,success
1301,5479,7.33663368225098,25.7135599115117,0.885350432694559,23.8570137786865,28.1785198974609,112811,20.5897061507574,0,TRUE,TRUE,TRUE,1.13352631034569,0.0618106667232291,1.48264594233461,0.093396137980809,valid,success
1302,4725,10.1491985321045,25.8069245200182,0.967247109710442,23.0533341979981,28.1884275817871,12047,2.54962962962963,0,TRUE,TRUE,TRUE,1.78013780593855,0.322842689277261,1.16247488445993,0.172372834785188,valid,success
1303,4063,11.8639183044434,26.3966096375278,1.22832712081588,23.6451148986816,29.5856368255615,7779,1.91459512675363,0,TRUE,TRUE,TRUE,5.52294990969526,17.8820349556879,6.68572547545777,19.9526061073938,high,success
1304,4975,8.75071716308594,26.7829859632943,1.40464855429669,24.1562929534912,30.5117687988281,14138,2.84180904522613,0,TRUE,TRUE,TRUE,1.37328563355468,0.823901462401415,1.29058674513609,0.421222570032121,valid,success
1401,5014,6.64352035522461,24.8933607842469,1.00706077291309,22.9448232650757,27.5523755836487,15905,3.17211806940566,0,TRUE,TRUE,TRUE,1.07851757549971,0.313811225894201,1.42627446729538,0.611938827486817,valid,success
1402,1847,7.63391494750977,26.2031745755743,1.27062163777947,23.8000053024292,29.479942779541,2343,1.26854358419058,0,TRUE,TRUE,TRUE,2.39106982416082,6.73845084637419,7.71395286407956,49.3880096372438,extreme,success
1501,5479,5.84963035583496,27.3254437179412,1.14405118040136,24.8349546813965,29.4686708450317,158263,28.8853805438949,0,TRUE,TRUE,TRUE,1.15716605802741,0.0990167484508931,1.50277438445876,0.210259872448822,valid,success
1502,5478,3.67319679260254,26.8113382913284,0.615207974284955,25.4035408401489,27.9775338935852,60353,11.0173420956553,0,TRUE,TRUE,TRUE,1.1188971622653,0.105036571852153,1.37917924330796,0.124302392720809,valid,success
1503,5470,7.38103675842285,26.7843860521613,1.16151315701883,24.2246500205994,29.3150618362427,40127,7.33583180987203,0,TRUE,TRUE,TRUE,1.31790899529766,0.541784494893814,1.41077779535593,0.697651113526463,valid,success
1504,5163,8.04907035827637,25.9362321503052,1.27614346211989,23.3280026245117,29.014732093811,17220,3.33527019174898,0,TRUE,TRUE,TRUE,1.16774972364851,0.601283266954627,1.44082188813223,0.94919680857638,valid,success
1505,5468,7.4638671875,26.2710038588356,1.22930913265806,23.9351341056824,29.380534362793,39776,7.27432333577176,0,TRUE,TRUE,TRUE,1.28263697546681,0.154033053845826,1.1308080847989,0.130585849852721,valid,success
1506,4716,6.98554611206055,26.3237483802744,1.23415651523339,23.8743012428284,29.150398349762,11780,2.49787955894826,0,TRUE,TRUE,TRUE,1.22058152032299,1.45619197486034,1.36935054311612,1.15675680408168,valid,success
1507,4812,5.10508918762207,27.1983138296075,1.00000591365724,25.1160579681397,29.1015608787537,12453,2.58790523690773,0,TRUE,TRUE,TRUE,1.04312895875084,0.179993601590283,1.46650390310749,0.351473252654332,valid,success
1601,5288,7.43467521667481,26.7511383235545,1.37037083352515,24.1651863670349,29.4332250213623,21749,4.11289712556732,0,TRUE,TRUE,TRUE,1.80247377188338,1.49114781312366,2.54208506297279,2.62427363786853,valid,success
1602,1626,4.38846206665039,26.5560636367892,0.792891739739219,25.0053191184998,28.4876375198364,1963,1.20725707257073,0,TRUE,TRUE,TRUE,4.60978899209904,59.5448160873376,1.65899724278159,6.95031201488557,extreme,success
1701,5393,10.6554088592529,26.9107502057206,1.59398971380273,23.949841003418,31.0887317657471,24782,4.59521602076766,0,TRUE,TRUE,TRUE,1.78810469481178,0.751749625118359,1.28212517285516,0.398740558565603,valid,success
1702,5462,9.07129096984863,27.1408068773206,1.40764857899287,24.2783223724365,30.718616027832,33374,6.11021603808129,0,TRUE,TRUE,TRUE,1.2814834512929,0.147639015122808,1.35999629780659,0.184656378954558,valid,success
1703,5024,12.2097988128662,26.5855219857708,1.73067851393877,23.3050817108154,30.9427012825012,14387,2.86365445859873,0,TRUE,TRUE,TRUE,1.76050871723501,1.67433188810054,1.3099337797419,0.994156101854376,valid,success
2101,5479,3.02194213867188,26.8560405041228,0.485186151198791,25.6961339187622,27.8017345428467,136642,24.9392224858551,0,TRUE,TRUE,TRUE,7.69940047665436,10.827701962817,14.4513007159248,22.3199578643283,extreme,success
2102,5477,4.56673812866211,26.9715910628261,0.776831676081517,25.2867273712158,28.5496614074707,56997,10.4066094577323,0,TRUE,TRUE,TRUE,1.0193885328842,0.076375480139402,1.36023941300415,0.150452240931219,valid,success
