region_code,n_days,n_deaths,mmt,rr_p99,rr_p99_lo,rr_p99_hi,rr_p1,rr_p1_lo,rr_p1_hi,in_mvmeta,conv_status,conv_heat,conv_cold,conv_mmt,region_name,primary_state,macro_region,n_municipalities,ac_pct,hdi,gdp_per_capita_brl,elderly_pct,urban_pct,hospital_beds_per_1000,physicians_per_1000,mean_temp_annual,is_good
220001,5479,64332,28.8253648160684,1.24495274607937,1.04625174665375,1.48139044443908,1.12528572033591,0.943966165064607,1.34143362257613,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220002,4782,11807,27.9759493881765,1.17727576285604,0.829543781226542,1.67077163758492,1.1161301212552,0.783817096550376,1.58933308938495,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220003,4508,9981,29.0691725116306,1.19523777682395,0.866987457083443,1.64776702531877,1.15422994096606,0.839358910402937,1.58721941247155,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220004,3623,6122,28.5419909964667,1.35261657905245,0.900036044410953,2.03277593301829,1.08566476519507,0.684906879895636,1.7209171304655,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220005,3206,5048,29.946200838956,1.1912474668705,0.79238838090547,1.79087750593186,1.27669738204217,0.752346033858542,2.16649803675287,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220006,5246,18086,27.3902633580295,1.25112161806417,0.955785533008564,1.63771604520978,1.17193491799411,0.884237319655666,1.55323850450997,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220007,4853,12365,29.5665131817442,1.12195550129261,0.852507637054359,1.47656641673052,1.36491037216914,1.0276720219825,1.81281603877956,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220008,4319,8789,28.9837857991999,1.32717460430241,0.911716758374921,1.93195135893393,1.30686213978741,0.842060374050184,2.0282258909715,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220009,5306,19785,24.4432730674744,1.2868696089942,0.917842904807147,1.80426670171934,1.0,1.0,1.0,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220010,2973,4417,31.5637147521973,1.0,1.0,1.0,1.48866248401508,0.73548121714293,3.01315103589285,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220011,3156,4804,31.280717976888,1.00674638837984,0.756047197931775,1.34057542080503,1.2456580054923,0.713876518150389,2.17357459896191,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220012,2152,2744,24.7263751220703,1.72116073456038,0.644785791868061,4.59438516101576,1.0,1.0,1.0,True,Partial,High,Good,Good,,,,,,,,,,,,,0
220013,3590,5955,23.6602775573731,1.29843029918376,0.748004678366758,2.25389130656184,1.0,1.0,1.0,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220014,2173,2759,25.2508724582557,1.42882764916332,0.634522354301948,3.21745709536038,1.27425996143604,0.831409902674284,1.95299387714306,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220015,3421,5491,28.3384472085972,1.17148045797364,0.79110910471548,1.73473728874313,1.07612403242002,0.671358653967927,1.72492441455479,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220016,2522,3455,31.4045707321167,1.0,1.0,1.0,2.30399381779823,0.975787252828032,5.44010745894422,True,Partial,Good,High,Good,,,,,,,,,,,,,0
220017,4389,9036,24.7752590942383,1.33889906433263,0.836888469540807,2.14204254176713,1.0,1.0,1.0,True,Good,Good,Good,Good,,,,,,,,,,,,,1
220018,2355,3115,24.6648787912696,1.87216730460789,0.997650248149836,3.51326571906627,1.0523222743514,0.476019916238103,2.32633579251794,True,Partial,High,Good,Good,,,,,,,,,,,,,0
220019,2473,3340,23.9596081542969,2.2950568237699,0.970206570625422,5.42903540731264,1.0,1.0,1.0,True,Partial,High,Good,Good,,,,,,,,,,,,,0
230001,5479,233011,27.5384448242188,1.0,1.0,1.0,1.8448853845509,1.63657592606443,2.07970924411333,True,Partial,Good,High,Good,,,,,,,,,,,,,0
230002,5113,16056,28.3321520996094,1.0,1.0,1.0,1.20001476503276,0.832916270382907,1.72890779962147,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230003,5083,15016,28.8271067047119,1.0,1.0,1.0,1.42239571673797,0.96862780769276,2.08873786084435,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230004,4961,13635,27.9772227547385,1.14544656766379,0.863404964045594,1.51962044927907,1.48626039690563,1.11183111481454,1.98678552702545,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230005,4316,9073,28.3387700254267,1.14886204567596,0.853257839663348,1.54687591328258,1.06760593895848,0.754653987322253,1.5103377972516,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230006,5397,22990,30.0003704833984,1.0,1.0,1.0,1.13008401734283,0.833619145589958,1.53198243227715,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230007,5410,27022,28.75649499373,1.22307652035384,1.00884905941347,1.48279483504753,1.0891809349226,0.86584260413718,1.37012790007146,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230008,4421,9431,28.105451965332,1.0,1.0,1.0,1.58641123398118,0.960102351805195,2.62128365644533,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230009,5412,25526,28.1055470911662,1.18527891334976,0.928864967646341,1.51247614170598,1.11494113403955,0.912097585362632,1.3628955413572,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230010,4286,8771,31.4049016952515,1.0,1.0,1.0,1.43656414265638,0.906351478038196,2.27694949031582,True,Good,Good,Good,Good,,,,,,,,,,,,,1
