intermediate_code,intermediate_name,pop_total,pop_elderly,gdp_total,pop_urban,n_municipalities,pct_elderly,gdp_per_capita,urbanization_rate
2802,Itabaiana,677536,93310.0,13928537,343181.0,29,13.771961932650074,20557.633837906767,50.65133070419874
2901,Salvador,3949045,601443.0,150316332,3851180.0,33,15.230087274265044,38063.970402970845,97.52180590497196
2902,Santo Antônio de Jesus,949130,143759.0,15838439,578256.0,41,15.146397226934138,16687.323127495707,60.92484696511542
2903,Ilhéus ¿ Itabuna,1594465,241626.0,33398897,1253449.0,51,15.154048536656495,20946.773369123814,78.6125126609866
2904,Vitória da Conquista,1790190,297087.0,29590767,1177468.0,77,16.5952775962328,16529.40023126037,65.77335366637061
2905,Guanambi,681216,113836.0,9352277,327433.0,31,16.710705561818866,13728.79820791056,48.06595852123262
2906,Barreiras,661929,83878.0,36447926,351360.0,24,12.671751804196523,55063.195599528044,53.08122170202544
2907,Irecê,611017,91298.0,7703387,340174.0,29,14.941973791236576,12607.483916159452,55.67341006878696
2908,Juazeiro,832262,114168.0,15645292,456494.0,18,13.717795598020816,18798.517774450833,54.849794896318706
2909,Paulo Afonso,780028,123619.0,11770059,370202.0,30,15.84802084027753,15089.277564395125,47.460091176214185
2910,Feira de Santana,2292344,348565.0,42554470,1396460.0,83,15.205614864086717,18563.73650726069,60.91843109062165
3101,Belo Horizonte,6035868,1031860.0,325229523,5543117.0,74,17.09546994732158,53882.809067395116,91.83628601553248
3102,Montes Claros,1607627,255213.0,32996951,1095586.0,86,15.875137702962192,20525.25305932284,68.1492659677898
3103,Teófilo Otoni,1136803,203192.0,18317659,761122.0,86,17.873985202361357,16113.309869871913,66.9528493503272
3104,Governador Valadares,721031,139153.0,15448691,565771.0,58,19.299170215982393,21425.834672850404,78.46694524923339
3105,Ipatinga,975383,181661.0,50244144,825910.0,44,18.62458131831291,51512.22032780969,84.6754556927894
3106,Juíz de Fora,2259836,447159.0,60590031,1789708.0,146,19.78723234783409,26811.693857430364,79.19636646199105
